"Series Key",ELEC.GEN.HYC-CO-99.M,"Series Key",ELEC.GEN.WND-CO-99.M,"Series Key",ELEC.GEN.SUN-CO-99.M,"Series Key",ELEC.GEN.WWW-CO-99.M
"Series Name","ELEC.GEN.HYC-CO-99.M, monthly","Series Name","ELEC.GEN.WND-CO-99.M, monthly","Series Name","ELEC.GEN.SUN-CO-99.M, monthly","Series Name","ELEC.GEN.WWW-CO-99.M, monthly"
Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours"
Frequency,M,Frequency,M,Frequency,M,Frequency,M
"Start Date",202301,"Start Date",202301,"Start Date",202301,"Start Date",202301
"End Date",200101,"End Date",200101,"End Date",200701,"End Date",200301
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

202301,125.62245,202301,1283.14071,202301,137.59347,202301,3.923
202212,103.99342,202212,1564.26037,202212,141.57415,202212,4.821
202211,100.08033,202211,1520.08394,202211,137.8709,202211,7.285
202210,81.4101,202210,1040.40579,202210,192.80407,202210,8.468
202209,98.96762,202209,1144.20465,202209,225.59896,202209,7.761
202208,145.91431,202208,1107.71879,202208,254.45974,202208,8.401
202207,188.82522,202207,1236.52651,202207,260.65338,202207,8.362
202206,222.76109,202206,1441.02722,202206,238.96371,202206,7.933
202205,161.79216,202205,1563.37185,202205,252.49729,202205,4.926
202204,103.0887,202204,1793.95794,202204,239.04918,202204,8.172
202203,158.91213,202203,1566.86751,202203,202.72678,202203,8.459
202202,146.86929,202202,1309.58094,202202,164.71026,202202,7.595
202201,171.9297,202201,1418.03251,202201,135.40229,202201,8.223
202112,102.55228,202112,1712.73188,202112,119.89851,202112,8.459
202111,84.85588,202111,1357.18755,202111,132.05111,202111,8.24
202110,95.863,202110,1309.11523,202110,133.22426,202110,8.107
202109,117.41795,202109,1153.81955,202109,170.78006,202109,5.579
202108,144.12146,202108,1201.72477,202108,197.23192,202108,8.404
202107,155.12708,202107,1132.38929,202107,206.27118,202107,8.167
202106,153.72217,202106,1093.58653,202106,193.27544,202106,8.236
202105,161.14741,202105,1236.36645,202105,153.1055,202105,8.023
202104,156.0841,202104,1332.05443,202104,143.68101,202104,8.256
202103,158.027,202103,1372.94304,202103,114.62253,202103,7.861
202102,126.93931,202102,893.232,202102,87.25252,202102,7.68
202101,142.45238,202101,1330.54629,202101,78.5544,202101,7.839
202012,123.41787,202012,1548.58334,202012,70.66775,202012,8.413
202011,117.68368,202011,1286.85987,202011,92.11547,202011,7.399
202010,122.18018,202010,1038.462,202010,106.49966,202010,8.082
202009,111.30348,202009,1037.84134,202009,139.88994,202009,7.8
202008,164.92962,202008,1058.95211,202008,144.84936,202008,7.194
202007,168.78389,202007,1078.56998,202007,174.83512,202007,8.09
202006,171.93428,202006,991.76819,202006,169.83963,202006,6.851
202005,166.97563,202005,1319.13581,202005,177.65769,202005,6.26
202004,135.73466,202004,898.13745,202004,151.40151,202004,8.093
202003,133.80883,202003,897.91668,202003,121.58501,202003,8.15
202002,130.2039,202002,995.44727,202002,79.21444,202002,7.861
202001,121.60499,202001,1234.55397,202001,75.13844,202001,8.053
201912,103.58318,201912,889.49184,201912,54.56655,201912,7.955
201911,103.95034,201911,939.51669,201911,69.83532,201911,7.968
201910,126.31779,201910,922.89323,201910,107.89662,201910,7.721
201909,151.38481,201909,1041.07243,201909,113.09571,201909,8.162
201908,189.64655,201908,788.9513,201908,136.02557,201908,8.322
201907,197.44236,201907,895.82722,201907,134.44979,201907,7.828
201906,179.38494,201906,780.59389,201906,138.46085,201906,6.537
201905,176.80472,201905,866.56113,201905,123.15089,201905,6.132
201904,167.49616,201904,1014.36521,201904,114.58639,201904,7.263
201903,143.56442,201903,923.9345,201903,97.82748,201903,7.5
201902,137.56292,201902,847.60879,201902,66.70799,201902,6.167
201901,133.86281,201901,941.55953,201901,61.61722,201901,6.973
201812,114.70173,201812,1045.8356,201812,50.0471,201812,7.872
201811,107.00709,201811,756.26849,201811,64.62147,201811,7.947
201810,129.17987,201810,721.33602,201810,77.68949,201810,6.714
201809,128.07572,201809,699.40846,201809,104.77174,201809,8.497
201808,166.17269,201808,716.44658,201808,109.46591,201808,8.544
201807,166.71789,201807,738.79881,201807,109.28134,201807,7.289
201806,180.39467,201806,797.58376,201806,124.93713,201806,7.813
201805,187.98116,201805,696.82357,201805,116.22061,201805,7.938
201804,178.23527,201804,986.13819,201804,100.71466,201804,7.782
201803,176.27115,201803,1004.87497,201803,84.65224,201803,5.331
201802,153.44961,201802,724.49896,201802,64.95156,201802,6.227
201801,137.19816,201801,857.1366,201801,55.02699,201801,6.685
201712,137.64783,201712,962.88761,201712,52.03398,201712,7.832
201711,130.55431,201711,837.26395,201711,55.18356,201711,7.555
201710,120.49751,201710,920.58991,201710,84.16632,201710,6.462
201709,127.71025,201709,576.84052,201709,86.97813,201709,7.972
201708,162.41075,201708,617.61319,201708,91.53294,201708,8.095
201707,197.15023,201707,501.1958,201707,84.36863,201707,8.497
201706,191.09703,201706,627.74826,201706,114.21966,201706,6.56
201705,178.53933,201705,849.77007,201705,104.83718,201705,7.571
201704,176.83322,201704,906.60081,201704,96.69009,201704,8.04
201703,177.26952,201703,875.3912,201703,87.59558,201703,8.652
201702,138.32035,201702,803.90698,201702,51.8961,201702,7.031
201701,159.19767,201701,834.85466,201701,44.99557,201701,6.727
201612,144.0263,201612,873.55291,201612,51.79955,201612,8.822
201611,6.1205,201611,928.66792,201611,56.13355,201611,8.643
201610,123.31483,201610,788.74865,201610,76.22114,201610,8.851
201609,185.1818,201609,731.93661,201609,77.97667,201609,7.445
201608,117.36817,201608,584.27173,201608,35.7247,201608,8.072
201607,188.43209,201607,633.05532,201607,44.95931,201607,7.64
201606,220.57748,201606,555.79084,201606,43.03468,201606,5.923
201605,147.51731,201605,737.67419,201605,40.90803,201605,7.115
201604,114.86442,201604,864.21319,201604,32.81025,201604,7.44
201603,221.82985,201603,940.56797,201603,33.03091,201603,8.04
201602,210.96322,201602,1001.0701,201602,26.93053,201602,4.745
201601,222.37504,201601,781.65457,201601,18.57973,201601,3.086
201512,184.28953,201512,871.04657,201512,23.74849,201512,0.804
201511,13.55711,201511,657.17687,201511,17.84576,201511,0.028
201510,131.05409,201510,668.37833,201510,17.92254,201510,0
201509,122.31616,201509,473.1956,201509,22.5288,201509,0
201508,117.42898,201508,557.57913,201508,24.28703,201508,0
201507,168.63933,201507,447.35778,201507,21.04332,201507,0
201506,251.51504,201506,424.56306,201506,25.52144,201506,0
201505,140.69569,201505,630.26085,201505,22.0777,201505,0
201504,35.45108,201504,667.95752,201504,23.81973,201504,0
201503,116.62265,201503,684.07654,201503,23.86037,201503,0
201502,135.36433,201502,628.27218,201502,16.87037,201502,0
201501,203.22701,201501,765.41458,201501,11.84581,201501,0
201412,88.61692,201412,660.0784,201412,11.38045,201412,1.758
201411,9.12261,201411,810.16328,201411,16.91944,201411,3.182
201410,47.99875,201410,633.16407,201410,20.75387,201410,4.07
201409,160.3388,201409,516.56593,201409,21.92653,201409,3.555
201408,74.81261,201408,369.06715,201408,27.68796,201408,4.286
201407,171.00337,201407,418.38103,201407,22.73,201407,4.745
201406,185.95272,201406,570.71996,201406,27.137,201406,3.475
201405,222.8325,201405,598.63963,201405,24.23893,201405,3.50017
201404,213.57978,201404,753.47666,201404,21.77793,201404,5.01701
201403,219.98883,201403,685.05064,201403,23.35959,201403,7.63674
201402,188.5941,201402,550.19415,201402,18.65735,201402,4.96567
201401,186.95993,201401,803.11311,201401,16.49597,201401,0.44253
201312,89.11923,201312,705.53595,201312,15.97633,201312,1.54736
201311,13.51457,201311,623.90958,201311,15.96393,201311,0
201310,14.18101,201310,661.79273,201310,23.25521,201310,0
201309,54.142,201309,543.44121,201309,22.41493,201309,0
201308,29.91471,201308,380.93461,201308,24.2379,201308,0
201307,128.20216,201307,504.72643,201307,24.19748,201307,0.30882
201306,163.16675,201306,587.64443,201306,25.33012,201306,0
201305,155.57412,201305,569.79546,201305,24.82962,201305,0.31412
201304,115.31339,201304,555.24567,201304,20.14663,201304,0.43975
201303,143.29064,201303,687.65252,201303,20.74806,201303,0.16265
201302,142.24374,201302,713.7736,201302,16.72502,201302,0
201301,164.20971,201301,669.26801,201301,14.62724,201301,0.31666
201212,89.2734,201212,671.75644,201212,13.48378,201212,0.2673
201211,12.84581,201211,494.70573,201211,16.33816,201211,0
201210,182.76064,201210,478.20497,201210,20.18922,201210,0
201209,156.84678,201209,344.91277,201209,19.15741,201209,0
201208,170.10127,201208,432.49614,201208,18.06019,201208,0
201207,165.31447,201207,346.97889,201207,18.89463,201207,0
201206,139.75676,201206,489.30995,201206,20.38293,201206,0
201205,158.47461,201205,426.25817,201205,18.70311,201205,0
201204,101.71026,201204,551.37037,201204,11.48771,201204,0
201203,134.29688,201203,559.54199,201203,3.76207,201203,0
201202,72.15151,201202,544.09426,201202,2.73531,201202,0
201201,113.67659,201201,629.01358,201201,2.2545,201201,0
201112,18.32532,201112,555.88993,201112,7.51538,201112,0
201111,25.95828,201111,550.64777,201111,5.72803,201111,0
201110,224.25057,201110,506.89174,201110,8.49472,201110,0
201109,190.60638,201109,331.77064,201109,8.60087,201109,0
201108,58.58261,201108,348.46715,201108,11.32414,201108,0.0696
201107,240.62532,201107,309.81969,201107,10.0093,201107,0.08899
201106,229.95501,201106,425.70007,201106,12.88507,201106,0.00463
201105,252.37346,201105,512.55461,201105,11.26257,201105,0.00892
201104,223.99838,201104,464.96825,201104,10.23351,201104,0
201103,220.54569,201103,391.60216,201103,7.94836,201103,0
201102,192.90217,201102,387.35858,201102,5.89459,201102,0
201101,204.49822,201101,414.65125,201101,4.73907,201101,0
201012,44.87214,201012,415.87853,201012,3.60797,201012,0.00689
201011,25.88955,201011,340.60725,201011,5.19107,201011,0.08515
201010,24.92273,201010,275.49793,201010,4.54346,201010,0.1139
201009,212.45586,201009,257.2572,201009,6.85754,201009,0
201008,121.41847,201008,209.33374,201008,4.40446,201008,0.03325
201007,193.34976,201007,204.26221,201007,3.5692,201007,0.07413
201006,199.04924,201006,261.91451,201006,4.58067,201006,1.63878
201005,64.73212,201005,335.22684,201005,3.65222,201005,0.07479
201004,167.75304,201004,367.72043,201004,2.667,201004,0.09277
201003,181.6545,201003,301.25238,201003,2.07953,201003,0.04506
201002,176.18092,201002,233.86717,201002,0.90746,201002,0.04013
201001,165.98527,201001,249.03281,201001,0.43722,201001,0
200912,129.88199,200912,303.51007,200912,0.81884,200912,0
200911,10.13082,200911,277.28976,200911,1.29217,200911,0
200910,171.05283,200910,310.62858,200910,1.87154,200910,0.03677
200909,216.17131,200909,247.52811,200909,2.75809,200909,0.00551
200908,65.30037,200908,204.10359,200908,3.31881,200908,0.00219
200907,198.10086,200907,146.7506,200907,2.86487,200907,0.02025
200906,213.69627,200906,150.01444,200906,2.46299,200906,0.03669
200905,228.61749,200905,231.07837,200905,3.31579,200905,0.02958
200904,146.08951,200904,321.35486,200904,2.90058,200904,0.08762
200903,197.97666,200903,267.0494,200903,2.51131,200903,0.04999
200902,147.98793,200902,278.479,200902,0.93062,200902,0.06474
200901,160.71797,200901,426.04913,200901,0.53941,200901,0.05448
200812,164.70758,200812,328.50014,200812,0.52728,200812,0
200811,3.4429,200811,331.86406,200811,0.87492,200811,0.03903
200810,185.90483,200810,257.19466,200810,1.48821,200810,0.05313
200809,217.7427,200809,166.17575,200809,2.05516,200809,0.0382
200808,128.74303,200808,192.82269,200808,1.81451,200808,0.00462
200807,226.73984,200807,164.89934,200807,1.93183,200807,0
200806,183.72153,200806,246.13942,200806,2.6252,200806,0
200805,232.03016,200805,295.89037,200805,2.13471,200805,0
200804,191.17116,200804,301.86905,200804,2.10647,200804,0
200803,209.23741,200803,306.94446,200803,1.71224,200803,0
200802,115.9311,200802,302.77253,200802,0.73515,200802,0
200801,179.95474,200801,325.77081,200801,0.34833,200801,0
200712,96.77681,200712,219.83522,200712,2.208,200712,0
200711,111.46703,200711,220.96758,200711,0,200711,0
200710,185.72107,200710,201.2073,200710,0,200710,0
200709,204.82433,200709,126.16131,200709,0,200709,0
200708,207.3234,200708,55.88438,200708,0,200708,0
200707,163.37574,200707,55.27167,200707,0,200707,0
200706,101.91142,200706,55.27736,200706,0,200706,0
200705,115.43165,200705,49.51246,200705,0,200705,0
200704,118.63313,200704,81.52051,200704,0,200704,0
200703,124.9637,200703,83.51669,200703,0,200703,0
200702,119.19288,200702,61.894,200702,0,200702,0
200701,179.91147,200701,80.46764,200701,0,200701,0
200612,143.45964,200612,67.51117,,,200612,0
200611,70.93083,200611,70.74054,,,200611,0
200610,93.48291,200610,98.63873,,,200610,0
200609,144.08931,200609,55.64206,,,200609,0
200608,189.86705,200608,50.51773,,,200608,0
200607,210.5627,200607,58.10305,,,200607,0
200606,194.24203,200606,72.70344,,,200606,0
200605,157.53386,200605,62.42577,,,200605,0
200604,166.19362,200604,89.97201,,,200604,0
200603,146.94126,200603,87.93726,,,200603,0
200602,128.65106,200602,77.50446,,,200602,0
200601,145.25276,200601,73.83979,,,200601,0
200512,59.47472,200512,56.78904,,,200512,0
200511,54.58123,200511,58.37826,,,200511,0
200510,85.47128,200510,54.75639,,,200510,0
200509,123.59621,200509,64.13512,,,200509,0
200508,127.49662,200508,39.82088,,,200508,0
200507,146.84693,200507,63.03224,,,200507,0
200506,146.50986,200506,58.01392,,,200506,0.093
200505,167.01603,200505,44.42744,,,200505,0.116
200504,126.00208,200504,47.83078,,,200504,0.108
200503,134.9461,200503,98.49754,,,200503,0.072
200502,118.35465,200502,85.00357,,,200502,0.059
200501,125.00029,200501,105.54882,,,200501,0
200412,87.43221,200412,59.79103,,,200412,0
200411,35.01117,200411,28.74853,,,200411,0.087
200410,88.87467,200410,27.09096,,,200410,0
200409,139.72256,200409,10.69353,,,200409,0
200408,154.30821,200408,7.79814,,,200408,0
200407,175.38493,200407,7.35921,,,200407,0
200406,87.23849,200406,9.0732,,,200406,0
200405,106.21921,200405,12.81825,,,200405,0
200404,89.32515,200404,12.15477,,,200404,0
200403,75.73382,200403,17.31253,,,200403,0
200402,71.01432,200402,13.6634,,,200402,0
200401,84.40025,200401,13.63744,,,200401,0
200312,100.612,200312,16.22,,,200312,0
200311,77.291,200311,13.569,,,200311,0
200310,77.369,200310,12.232,,,200310,0
200309,145.481,200309,9.659,,,200309,0
200308,187.116,200308,8.559,,,200308,0
200307,175.878,200307,8.067,,,200307,0
200306,140.319,200306,9.173,,,200306,0
200305,100.847,200305,11.191,,,200305,0
200304,70.037,200304,13.307,,,200304,0
200303,48.959,200303,17.202,,,200303,0
200302,56.925,200302,11.089,,,200302,0
200301,81.364,200301,16.841,,,200301,0
200212,56.519,200212,14.6,,,,
200211,62.635,200211,12.066,,,,
200210,36.152,200210,9.972,,,,
200209,71.768,200209,9.832,,,,
200208,132.929,200208,10.096,,,,
200207,146.596,200207,7.529,,,,
200206,150.506,200206,9.63,,,,
200205,152.696,200205,10.517,,,,
200204,112.207,200204,12.701,,,,
200203,96.342,200203,11.379,,,,
200202,84.731,200202,14.603,,,,
200201,105.925,200201,16.08,,,,
200112,83.146,200112,16.199,,,,
200111,77.601,200111,5.034,,,,
200110,119.924,200110,5.032,,,,
200109,145.638,200109,2.125,,,,
200108,188.28,200108,2.931,,,,
200107,161.61,200107,1.423,,,,
200106,175.294,200106,1.797,,,,
200105,151.592,200105,2.876,,,,
200104,95.425,200104,2.55,,,,
200103,98.212,200103,2.074,,,,
200102,86.63,200102,2.441,,,,
200101,111.346,200101,4.158,,,,
